Time[min];Temperature[°C];Reference Temperature[°C];Power[W];Power Heater[W];Power Coil[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
188.38;73.6;74.4272;1442;1156.8;289.2;73.6550125316452;1338.28302407465;22
188.55;73.8;74.5608;1411;1156.8;289.2;73.7560517052246;1356.23212076808;22
188.71;73.9;74.6952;1361;1092;273;73.8978436870297;1372.33096232222;22
188.88;74;74.8288;1363;1092;273;73.9920083765477;1385.10001302826;22
189.05;74.1;74.9616;1374;1104;276;74.1029141501213;1398.97688786142;22
189.21;74.2;75.0952;1430;1104;276;74.2093947111729;1414.21239295918;22
189.38;74.3;75.228;1428;1151.2;287.8;74.289598156739;1428.64786874451;22
189.55;74.4;75.3616;1481;1151.2;287.8;74.3842094100658;1445.21113933635;22
189.71;74.4;75.4944;1499;1205.6;301.4;74.4798118889321;1461.35165471758;22
189.88;74.6;75.6288;1548;1205.6;301.4;74.5714307001252;1480.06666412546;22
190.05;74.7;75.7616;1515;1218.4;304.6;74.6833658128915;1497.69316886165;22
190.21;74.8;75.8944;1488;1218.4;304.6;74.8247530459149;1514.01782440795;22
190.38;74.9;76.028;1494;1202.4;300.6;74.9140871219066;1527.23560941325;22
190.55;75;76.1616;1436;1202.4;300.6;75.0556189610349;1541.27358959366;22
190.71;75.1;76.2944;1487;1197.6;299.4;75.1468616822106;1551.45785503831;22
190.88;75.3;76.428;1474;1197.6;299.4;75.2629924133737;1564.19777564461;22
191.05;75.3;76.5616;1448;1165.6;291.4;75.3845351930515;1574.96646146579;22
191.21;75.5;76.696;1542;1165.6;291.4;75.4822320252152;1586.67033223556;22
191.38;75.6;76.828;1506;1210.4;302.6;75.5980254959274;1598.8929707305;22
191.55;75.7;76.9624;1465;1210.4;302.6;75.7385446821682;1610.16175771117;22
191.71;75.8;77.0944;1728;797.200000000002;936.799999999998;75.8182441111352;1619.59022130309;22
191.88;75.9;77.228;1979;797.200000000002;936.799999999998;75.9493304192635;1645.59903654117;22
192.05;76;77.3616;1977;0;2000;76.073498573462;1676.92498531518;22
192.21;76.4;77.4952;1980;0;2000;76.2532916617548;1707.14358035173;22
192.38;76.7;77.6288;1669;781.200000000002;957.799999999998;76.5254148902906;1731.1165530308;22
192.55;77;77.7624;1309;781.200000000002;957.799999999998;76.8455027624029;1741.39251544095;22
