Time[min];Temperature[°C];Power[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
12.85;21.2;1104.0;21.146540304751017;759.596901069628;22.0
13.01;21.3;1070.0;21.293988293091783;783.9836244425052;22.0
13.18;21.3;1018.0;21.381554248815135;802.8896038477124;22.0
13.35;21.5;1087.0;21.51017129574303;824.5592538276696;22.0
13.51;21.6;1036.0;21.616836163998187;843.4610291168018;22.0
13.68;21.7;1023.0;21.747814848889554;861.8697174403171;22.0
13.85;21.9;1032.0;21.8702533130566;877.2194168381542;22.0
14.01;22.0;903.0;22.021338372991185;890.70663106536;22.0
14.18;22.1;1002.0;22.100615578755917;901.7194257437217;22.0
14.35;22.2;1082.0;22.225140971091307;918.6092780934504;22.0
14.51;22.3;1060.0;22.346278409144578;935.0612859717994;22.0
14.68;22.4;1015.0;22.47556742308698;949.801649600396;22.0
14.85;22.6;1020.0;22.621640180873715;963.58377188104;22.0
15.01;22.8;953.0;22.770516363932824;974.8590614880673;22.0
15.18;22.9;942.0;22.89404229655082;981.9140745836617;22.0
15.35;23.0;996.0;23.01888882290257;989.9324936928494;22.0
15.51;23.2;927.0;23.16639127171113;998.913887538867;22.0
15.68;23.3;936.0;23.315082731954963;1005.900527107046;22.0
15.85;23.4;856.0;23.46961913287419;1012.0981023688926;22.0
16.01;23.5;917.0;23.589616842826775;1015.6095012526249;22.0
16.18;23.7;930.0;23.738261198146066;1022.386781815945;22.0
16.35;23.9;907.0;23.87069985514231;1026.8834287961004;22.0
16.52;24.0;865.0;24.032353673862115;1031.6594263213137;22.0
16.68;24.1;918.0;24.15780234503114;1034.9307555857665;22.0
16.85;24.3;934.0;24.302043388837003;1039.9813822753274;22.0
17.02;24.4;889.0;24.45399191081617;1045.0716455346942;22.0
17.18;24.6;933.0;24.582070590640566;1048.1993921430342;22.0
17.35;24.7;945.0;24.727689921489855;1053.063056385108;22.0
17.52;24.9;970.0;24.86751590568966;1058.8811913678414;22.0
17.68;25.1;943.0;24.99852869525201;1063.3494219450959;22.0
17.85;25.2;899.0;25.158685789818346;1067.0695535227471;22.0
18.02;25.3;801.0;25.34072910461301;1068.4353887260388;22.0
18.18;25.5;808.0;25.493222357993908;1066.9452542877505;22.0
18.35;25.6;881.0;25.623808697469382;1065.6658786910593;22.0
18.52;25.8;970.0;25.742447205926165;1067.9908231877953;22.0
18.68;25.9;919.0;25.90282730476705;1072.7769475559921;22.0
18.85;26.0;875.0;26.065684205977824;1074.8324708243617;22.0
19.02;26.2;866.0;26.210876102837222;1075.7761257205002;22.0
19.18;26.4;816.0;26.373632690697118;1075.3668889818662;22.0
19.35;26.5;796.0;26.53918328216711;1073.2917010565043;22.0
19.52;26.7;772.0;26.716313820870532;1070.631945999104;22.0
19.68;26.9;735.0;26.883276153919393;1065.683070553147;22.0
19.85;27.0;758.0;27.026626652345964;1060.2354023356822;22.0
20.02;27.1;764.0;27.17096130946211;1056.9095337153854;22.0
20.18;27.3;838.0;27.30985102235085;1056.2207289072776;22.0
20.35;27.4;813.0;27.454525738260806;1055.58576810912;22.0
20.52;27.6;880.0;27.60241188395493;1056.5736768964484;22.0
20.68;27.7;906.0;27.714587970142254;1057.9703857576162;22.0
20.85;27.9;938.0;27.866341946768948;1062.9226360005862;22.0
21.02;28.0;894.0;28.027307998948263;1066.429271485732;22.0
21.18;28.1;921.0;28.154937613855054;1069.1250329659144;22.0
21.35;28.2;945.0;28.280830309823667;1074.0388445417316;22.0
21.52;28.4;999.0;28.40960358837247;1080.472792027194;22.0
21.68;28.6;929.0;28.571481618659714;1086.655146454547;22.0
21.85;28.7;885.0;28.730585316421767;1088.9901685200757;22.0
22.02;28.9;861.0;28.896398120943203;1090.781197544347;22.0
22.18;29.1;767.0;29.084517526435604;1089.9259342359408;22.0
22.35;29.2;767.0;29.233620333016916;1084.750365135163;22.0
22.52;29.4;728.0;29.412120199559517;1080.2253197285581;22.0
22.68;29.5;825.0;29.52131298136727;1075.2524931216644;22.0
22.85;29.6;867.0;29.657162794384575;1074.4727024862161;22.0
23.02;29.8;882.0;29.80761736506839;1076.1541187156267;22.0
23.18;30.0;877.0;29.963287185146353;1078.1712413485009;22.0
23.35;30.1;906.0;30.100593035974416;1078.3458677865897;22.0
23.52;30.2;924.0;30.23786759035478;1081.0394737448619;22.0
23.68;30.4;932.0;30.3779138780976;1083.6905560460336;22.0
23.85;30.5;905.0;30.53700708140358;1087.462099791073;22.0
24.02;30.7;956.0;30.652823334083312;1090.4274361526957;22.0
24.18;30.9;852.0;30.83231209400134;1094.37800873313;22.0
24.35;31.0;870.0;30.980286086923485;1093.4510344043915;22.0
24.52;31.2;835.0;31.14404692403715;1093.611032654321;22.0
24.69;31.2;879.0;31.284000525694005;1092.3174393562551;22.0
24.85;31.4;953.0;31.40658445847792;1095.386406592702;22.0
25.02;31.5;964.0;31.54708374988405;1100.8178724336467;22.0
25.19;31.7;1016.0;31.668282463912387;1105.9149585447722;22.0
25.35;31.8;1134.0;31.82432365654282;1116.5919986762547;22.0
25.52;32.0;1195.0;31.96556622357058;1129.8459078733736;22.0
25.69;32.1;1140.0;32.13635793440364;1143.519346694557;22.0
25.85;32.3;1098.0;32.292265096137015;1154.8925790035971;22.0
26.02;32.5;1048.0;32.453479805804356;1164.0111469656483;22.0
26.19;32.7;1055.0;32.61267893354629;1171.4356512127642;22.0
26.35;32.7;1045.0;32.776178041756914;1179.342445316113;22.0
26.52;33.0;982.0;32.925271433057695;1184.678007012748;22.0
26.69;33.1;840.0;33.10043575370449;1184.5268323101382;22.0
26.85;33.3;722.0;33.251595037882545;1177.82169080618;22.0
27.02;33.4;605.0;33.435573351755586;1166.2527183108607;22.0
27.19;33.6;527.0;33.61838357519687;1150.4385360825997;22.0
27.35;33.8;459.0;33.76827543280396;1131.0277280239588;22.0
27.52;33.9;409.0;33.91912106944414;1109.3543884696553;22.0
27.69;34.1;352.0;34.054396019591735;1088.618945460894;22.0
27.85;34.2;278.0;34.22965301938944;1063.6182079272905;22.0
28.02;34.3;262.0;34.33982638079648;1036.3749287604433;22.0
28.19;34.5;267.0;34.4405663136578;1009.5841790012828;22.0
28.35;34.5;264.0;34.56480673493991;984.3207287257992;22.0
28.52;34.7;230.0;34.700993169480604;959.8355456751804;22.0
28.69;34.8;188.0;34.82539296107291;933.9474571337242;22.0
28.85;34.9;147.0;34.9514177697737;906.9164251333572;22.0
29.02;35.0;162.0;35.024825326777915;882.6784129215156;22.0
29.19;35.1;179.0;35.09386420557872;856.8408192107088;22.0
29.35;35.2;147.0;35.217760546257246;832.763138142266;22.0
29.52;35.3;157.0;35.30337974325635;808.7103574577515;22.0
29.69;35.4;108.0;35.409797284829985;785.3506058382998;22.0
29.85;35.6;73.0;35.50956859149232;760.7132378900488;22.0
30.02;35.6;22.0;35.624169136322784;734.484907061546;22.0
30.19;35.7;62.0;35.67755150568005;707.999327170991;22.0
30.35;35.7;83.0;35.73446206579206;686.5480309736672;22.0
30.52;35.8;90.0;35.80750682185905;665.1174227681315;22.0
30.69;35.9;68.0;35.881884922805604;644.4466933747326;22.0
30.85;36.0;6.0;35.99085002294146;623.025507366782;22.0
31.02;36.0;18.0;36.044034086248985;599.9190573681788;22.0
31.19;36.1;21.0;36.101342222163396;578.6571223294953;22.0
31.35;36.1;43.0;36.14304907721678;557.8574539516108;22.0
31.52;36.2;93.0;36.18208451534178;541.3434079420983;22.0
31.69;36.2;65.0;36.22885975197442;525.163665643497;22.0
31.86;36.3;62.0;36.294463766117666;508.8134481399986;22.0
32.02;36.3;37.0;36.333384834881535;491.5487397317685;22.0
32.19;36.4;25.0;36.420674885856556;475.41008523664635;22.0
32.36;36.5;1.0;36.4914284454032;457.9792572592498;22.0
32.52;36.5;0.0;36.52674893292508;440.7668829463024;22.0
32.69;36.5;13.0;36.5371539986632;424.2850930187176;22.0
32.86;36.6;17.0;36.591732233671465;410.5481475838298;22.0
33.02;36.5;27.0;36.604705636375925;395.60966420090494;22.0
33.19;36.6;76.0;36.62068222515181;382.6553817111485;22.0
33.36;36.7;117.0;36.664061493702086;372.43179791683167;22.0
33.52;36.8;65.0;36.74342851762777;361.64005886143474;22.0
33.69;36.8;74.0;36.80035245910252;350.28022670132236;22.0
33.86;36.8;149.0;36.81869838730071;340.24080734811184;22.0
34.02;36.8;349.0;36.83311781579604;337.64871684888453;22.0
34.19;36.9;466.0;36.88692918851795;344.26422346901927;22.0
