Time[min];Time[min];Temperature[°C];Reference Temperature[°C];Power[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
47,71;253,34;97,70;99,00;1700,00;97,87;2163,85;22,00
47,88;253,51;97,60;99,00;1700,00;97,86;2162,61;22,00
48,05;253,68;97,70;99,00;1700,00;97,88;2161,53;22,00
48,21;253,84;97,70;99,00;1700,00;97,88;2160,41;22,00
48,38;254,01;97,70;99,00;1700,00;97,85;2159,25;22,00
48,55;254,18;97,60;99,00;1700,00;97,86;2158,26;22,00
48,71;254,34;97,60;99,00;1700,00;97,85;2157,21;22,00
48,88;254,51;97,60;99,00;1700,00;97,82;2156,12;22,00
49,05;254,68;97,70;99,00;1700,00;97,83;2155,25;22,00
49,22;254,85;97,60;99,00;1700,00;97,82;2154,32;22,00
49,38;255,01;97,60;99,00;1700,00;97,81;2153,42;22,00
49,55;255,18;97,60;99,00;1700,00;97,81;2152,59;22,00
49,72;255,35;97,60;99,00;1700,00;97,81;2151,80;22,00
49,88;255,51;97,60;99,00;1700,00;97,81;2151,05;22,00
50,05;255,68;97,70;99,00;1700,00;97,81;2150,39;22,00
50,22;255,85;97,60;99,00;1700,00;97,81;2149,73;22,00
50,38;256,01;97,70;99,00;1700,00;97,82;2149,08;22,00
50,55;256,18;97,60;99,00;1700,00;97,81;2148,41;22,00
50,72;256,35;97,60;99,00;1700,00;97,82;2147,81;22,00
50,88;256,51;97,60;99,00;1700,00;97,82;2147,20;22,00
51,05;256,68;97,70;99,00;1700,00;97,82;2146,63;22,00
51,22;256,85;97,60;99,00;1700,00;97,82;2146,09;22,00
51,38;257,01;97,60;99,00;1700,00;97,83;2145,58;22,00
51,55;257,18;97,60;99,00;1700,00;97,82;2145,03;22,00
51,72;257,35;97,70;99,00;1700,00;97,84;2144,66;22,00
51,88;257,51;97,70;99,00;1700,00;97,88;2144,40;22,00
52,05;257,68;97,70;99,00;1700,00;97,88;2143,94;22,00
52,22;257,85;97,90;99,00;1700,00;97,92;2143,66;22,00
52,38;258,01;97,70;99,00;1700,00;97,96;2143,42;22,00
52,55;258,18;97,70;99,00;1750,00;97,92;2143,07;22,00
52,72;258,35;97,70;99,00;1750,00;97,91;2144,96;22,00
52,89;258,52;97,70;99,00;1750,00;97,91;2146,81;22,00
53,05;258,68;97,80;99,00;1750,00;97,95;2148,82;22,00
53,22;258,85;97,80;99,00;1750,00;97,99;2150,79;22,00
53,39;259,02;97,90;99,00;1750,00;98,03;2152,71;22,00
53,55;259,18;97,90;99,00;1750,00;98,08;2154,36;22,00
53,72;259,35;98,00;99,00;1750,00;98,11;2156,04;22,00
53,89;259,52;97,90;99,00;1750,00;98,16;2157,75;22,00
54,05;259,68;98,00;99,00;1750,00;98,17;2159,17;22,00
54,22;259,85;98,00;99,00;1750,00;98,20;2160,67;22,00
54,39;260,02;98,10;99,00;1750,00;98,25;2162,19;22,00
54,55;260,18;98,10;99,00;1750,00;98,29;2163,63;22,00
54,72;260,35;98,10;99,00;1750,00;98,30;2164,88;22,00
54,89;260,52;98,10;99,00;1750,00;98,30;2166,04;22,00
55,05;260,68;98,20;99,00;1750,00;98,35;2167,32;22,00
55,22;260,85;98,10;99,00;1750,00;98,36;2168,41;22,00
55,39;261,02;98,30;99,00;1750,00;98,39;2169,55;22,00
55,55;261,18;98,20;99,00;1750,00;98,43;2170,61;22,00
55,72;261,35;98,30;99,00;1750,00;98,46;2171,66;22,00
55,89;261,52;98,30;99,00;1750,00;98,49;2172,70;22,00
56,05;261,68;98,40;99,00;1750,00;98,51;2173,64;22,00
56,22;261,85;98,30;99,00;1750,00;98,54;2174,58;22,00
56,39;262,02;98,40;99,00;1750,00;98,52;2175,23;22,00
56,55;262,18;98,30;99,00;1750,00;98,55;2176,12;22,00
56,72;262,35;98,40;99,00;1750,00;98,56;2176,85;22,00
56,89;262,52;98,30;99,00;1750,00;98,58;2177,64;22,00
57,06;262,69;98,50;99,00;1700,00;98,60;2178,39;22,00
57,22;262,85;98,40;99,00;1700,00;98,64;2176,84;22,00
57,39;263,02;98,50;99,00;1700,00;98,64;2175,29;22,00
57,56;263,19;98,40;99,00;1700,00;98,69;2173,86;22,00
57,72;263,35;98,40;99,00;1700,00;98,62;2171,96;22,00
57,89;263,52;98,40;99,00;1700,00;98,60;2170,32;22,00
58,06;263,69;98,30;99,00;1700,00;98,55;2168,65;22,00
58,22;263,85;98,30;99,00;1700,00;98,55;2167,25;22,00
58,39;264,02;98,30;99,00;1700,00;98,52;2165,77;22,00
58,56;264,19;98,30;99,00;1700,00;98,52;2164,44;22,00
58,72;264,35;98,30;99,00;1700,00;98,51;2163,18;22,00
58,89;264,52;98,20;99,00;1700,00;98,50;2161,95;22,00
59,06;264,69;98,30;99,00;1700,00;98,45;2160,60;22,00
59,22;264,85;98,20;99,00;1700,00;98,47;2159,70;22,00
59,39;265,02;98,20;99,00;1700,00;98,42;2158,42;22,00
59,56;265,19;98,10;99,00;1700,00;98,38;2157,22;22,00
59,72;265,35;98,10;99,00;1700,00;98,33;2156,00;22,00
59,89;265,52;98,10;99,00;1700,00;98,31;2154,99;22,00
60,06;265,69;98,10;99,00;1700,00;98,31;2154,09;22,00
60,22;265,85;98,10;99,00;1700,00;98,31;2153,26;22,00
60,39;266,02;98,10;99,00;1700,00;98,28;2152,34;22,00
60,56;266,19;98,00;99,00;1700,00;98,28;2151,55;22,00
60,73;266,36;98,00;99,00;1700,00;98,23;2150,58;22,00
60,89;266,52;97,90;99,00;1700,00;98,20;2149,75;22,00
61,06;266,69;97,90;99,00;1700,00;98,14;2148,85;22,00
61,23;266,86;97,90;99,00;1700,00;98,17;2148,31;22,00
61,39;267,02;98,00;99,00;1700,00;98,14;2147,57;22,00
61,56;267,19;97,90;99,00;1700,00;98,14;2146,99;22,00
61,73;267,36;97,90;99,00;1700,00;98,12;2146,30;22,00
61,89;267,52;97,90;99,00;1650,00;98,11;2144,49;22,00
62,06;267,69;97,90;99,00;1650,00;98,10;2141,62;22,00
62,23;267,86;97,90;99,00;1650,00;98,09;2138,86;22,00
62,39;268,02;97,90;99,00;1650,00;98,04;2135,97;22,00
62,56;268,19;97,70;99,00;1650,00;98,03;2133,38;22,00
62,73;268,36;97,70;99,00;1650,00;97,95;2130,78;22,00
62,89;268,52;97,70;99,00;1650,00;97,90;2128,24;22,00
63,06;268,69;97,60;99,00;1650,00;97,84;2125,68;22,00
63,23;268,86;97,60;99,00;1650,00;97,82;2123,45;22,00
63,39;269,02;97,50;99,00;1650,00;97,75;2121,06;22,00
63,56;269,19;97,40;99,00;1650,00;97,70;2118,85;22,00
63,73;269,36;97,40;99,00;1650,00;97,63;2116,67;22,00
63,89;269,52;97,30;99,00;1650,00;97,58;2114,60;22,00
64,06;269,69;97,30;99,00;1650,00;97,53;2112,78;22,00
64,23;269,86;97,30;99,00;1700,00;97,50;2111,93;22,00
64,39;270,02;97,20;99,00;1700,00;97,44;2112,42;22,00
64,56;270,19;97,20;99,00;1700,00;97,41;2113,06;22,00
64,73;270,36;97,10;99,00;1700,00;97,35;2113,46;22,00
64,89;270,52;97,10;99,00;1700,00;97,34;2114,14;22,00
65,06;270,69;97,10;99,00;1700,00;97,32;2114,69;22,00
65,23;270,86;97,10;99,00;1700,00;97,33;2115,40;22,00
65,39;271,02;97,10;99,00;1700,00;97,30;2115,89;22,00
65,56;271,19;97,10;99,00;1700,00;97,30;2116,50;22,00
65,73;271,36;97,10;99,00;1700,00;97,28;2116,97;22,00
65,89;271,52;97,10;99,00;1700,00;97,29;2117,63;22,00
66,06;271,69;97,10;99,00;1700,00;97,27;2118,07;22,00
66,23;271,86;97,10;99,00;1700,00;97,30;2118,76;22,00
66,39;272,02;97,10;99,00;1700,00;97,30;2119,21;22,00
66,56;272,19;97,10;99,00;1700,00;97,32;2119,78;22,00
66,73;272,36;97,20;99,00;1700,00;97,32;2120,25;22,00
66,89;272,52;97,30;99,00;1700,00;97,42;2121,20;22,00
67,06;272,69;97,30;99,00;1700,00;97,47;2121,83;22,00
67,23;272,86;97,20;99,00;1700,00;97,48;2122,29;22,00
67,39;273,02;97,30;99,00;1700,00;97,46;2122,57;22,00
67,56;273,19;97,30;99,00;1700,00;97,50;2123,11;22,00
67,73;273,36;97,30;99,00;1700,00;97,49;2123,41;22,00
67,89;273,52;97,40;99,00;1700,00;97,56;2124,07;22,00
68,06;273,69;97,40;99,00;1700,00;97,54;2124,27;22,00
68,23;273,86;97,40;99,00;1700,00;97,58;2124,76;22,00
68,39;274,02;97,40;99,00;1700,00;97,58;2125,05;22,00
68,56;274,19;97,40;99,00;1700,00;97,60;2125,38;22,00
68,73;274,36;97,40;99,00;1700,00;97,59;2125,62;22,00
68,89;274,52;97,40;99,00;1700,00;97,60;2125,89;22,00
69,06;274,69;97,40;99,00;1700,00;97,60;2126,14;22,00
69,23;274,86;97,40;99,00;1700,00;97,63;2126,49;22,00
69,39;275,02;97,50;99,00;1700,00;97,62;2126,66;22,00
69,56;275,19;97,50;99,00;1700,00;97,67;2127,12;22,00
69,73;275,36;97,50;99,00;1700,00;97,66;2127,27;22,00
69,89;275,52;97,50;99,00;1700,00;97,71;2127,71;22,00
70,06;275,69;97,50;99,00;1700,00;97,71;2127,84;22,00
70,23;275,86;97,60;99,00;1700,00;97,76;2128,23;22,00
70,39;276,02;97,60;99,00;1700,00;97,79;2128,53;22,00
70,56;276,19;97,60;99,00;1700,00;97,80;2128,72;22,00
70,73;276,36;97,60;99,00;1700,00;97,80;2128,86;22,00
70,89;276,52;97,60;99,00;1700,00;97,81;2129,05;22,00
71,06;276,69;97,70;99,00;1700,00;97,81;2129,13;22,00
71,23;276,86;97,60;99,00;1700,00;97,84;2129,41;22,00
71,39;277,02;97,60;99,00;1700,00;97,82;2129,39;22,00
71,56;277,19;97,60;99,00;1700,00;97,84;2129,60;22,00
71,73;277,36;97,60;99,00;1700,00;97,81;2129,58;22,00
71,89;277,52;97,60;99,00;1700,00;97,81;2129,63;22,00
72,06;277,69;97,60;99,00;1700,00;97,80;2129,72;22,00
72,23;277,86;97,70;99,00;1700,00;97,86;2130,09;22,00
72,39;278,02;97,60;99,00;1700,00;97,85;2130,13;22,00
72,56;278,19;97,70;99,00;1700,00;97,88;2130,34;22,00
72,73;278,36;97,70;99,00;1700,00;97,86;2130,31;22,00
72,89;278,52;97,70;99,00;1700,00;97,89;2130,51;22,00
73,06;278,69;97,70;99,00;1700,00;97,90;2130,62;22,00
73,23;278,86;97,70;99,00;1700,00;97,90;2130,69;22,00
73,39;279,02;97,70;99,00;1700,00;97,89;2130,68;22,00
73,56;279,19;97,70;99,00;1700,00;97,90;2130,78;22,00
73,73;279,36;97,70;99,00;1700,00;97,90;2130,85;22,00
73,89;279,52;97,70;99,00;1700,00;97,90;2130,90;22,00
74,06;279,69;97,70;99,00;1700,00;97,89;2130,91;22,00
74,23;279,86;97,70;99,00;1700,00;97,90;2130,98;22,00
74,39;280,02;97,70;99,00;1700,00;97,88;2130,95;22,00
74,56;280,19;97,70;99,00;1700,00;97,90;2131,05;22,00
74,73;280,36;97,70;99,00;1700,00;97,90;2131,11;22,00
74,90;280,53;97,70;99,00;1700,00;97,92;2131,24;22,00
75,06;280,69;97,70;99,00;1700,00;97,91;2131,22;22,00
75,23;280,86;97,70;99,00;1700,00;97,95;2131,44;22,00
75,40;281,03;97,70;99,00;1700,00;97,94;2131,43;22,00
75,56;281,19;97,70;99,00;1700,00;97,93;2131,42;22,00
75,73;281,36;97,70;99,00;1700,00;97,91;2131,35;22,00
75,90;281,53;97,70;99,00;1700,00;97,91;2131,35;22,00
76,06;281,69;97,70;99,00;1700,00;97,90;2131,37;22,00
76,23;281,86;97,70;99,00;1700,00;97,90;2131,39;22,00
76,40;282,03;97,70;99,00;1700,00;97,90;2131,42;22,00
76,56;282,19;97,70;99,00;1700,00;97,90;2131,45;22,00
76,73;282,36;97,70;99,00;1700,00;97,90;2131,44;22,00
76,90;282,53;97,70;99,00;1700,00;97,90;2131,49;22,00
77,06;282,69;97,70;99,00;1700,00;97,90;2131,52;22,00
77,23;282,86;97,70;99,00;1700,00;97,90;2131,54;22,00
77,40;283,03;97,70;99,00;1700,00;97,90;2131,56;22,00
77,56;283,19;97,70;99,00;1700,00;97,90;2131,59;22,00
77,73;283,36;97,70;99,00;1700,00;97,90;2131,61;22,00
77,90;283,53;97,70;99,00;1700,00;97,90;2131,63;22,00
78,06;283,69;97,70;99,00;1700,00;97,90;2131,64;22,00
78,23;283,86;97,70;99,00;1700,00;97,90;2131,66;22,00
78,40;284,03;97,70;99,00;1700,00;97,90;2131,68;22,00
78,56;284,19;97,70;99,00;1650,00;97,90;2130,98;22,00
78,73;284,36;97,70;99,00;1650,00;97,90;2128,65;22,00
78,90;284,53;97,70;99,00;1650,00;97,90;2126,39;22,00
79,06;284,69;97,70;99,00;1650,00;97,90;2124,25;22,00
79,23;284,86;97,70;99,00;1650,00;97,90;2122,16;22,00
79,40;285,03;97,60;99,00;1650,00;97,84;2119,90;22,00
79,56;285,19;97,60;99,00;1650,00;97,82;2118,04;22,00
79,73;285,36;97,60;99,00;1650,00;97,81;2116,12;22,00
79,90;285,53;97,60;99,00;1650,00;97,79;2114,26;22,00
80,06;285,69;97,40;99,00;1680,00;97,74;2113,49;22,00
80,23;285,86;97,40;99,00;1680,00;97,67;2112,90;22,00
80,40;286,03;97,40;99,00;1680,00;97,62;2112,46;22,00
80,56;286,19;97,40;99,00;1680,00;97,61;2112,17;22,00
80,73;286,36;97,40;99,00;1680,00;97,60;2111,96;22,00
80,90;286,53;97,40;99,00;1680,00;97,60;2111,76;22,00
81,06;286,69;97,40;99,00;1680,00;97,60;2111,60;22,00
81,23;286,86;97,40;99,00;1680,00;97,60;2111,43;22,00
81,40;287,03;97,40;99,00;1680,00;97,60;2111,27;22,00
81,56;287,19;97,40;99,00;1680,00;97,60;2111,11;22,00
81,73;287,36;97,40;99,00;1680,00;97,60;2110,96;22,00
81,90;287,53;97,40;99,00;1680,00;97,60;2110,81;22,00
82,06;287,69;97,30;99,00;1680,00;97,56;2110,48;22,00
82,23;287,86;97,40;99,00;1680,00;97,57;2110,39;22,00
82,40;288,03;97,30;99,00;1680,00;97,51;2109,99;22,00
82,56;288,19;97,30;99,00;1680,00;97,50;2109,86;22,00
82,73;288,36;97,20;99,00;1680,00;97,47;2109,59;22,00
82,90;288,53;97,30;99,00;1680,00;97,48;2109,55;22,00
83,06;288,69;97,20;99,00;1680,00;97,46;2109,35;22,00
83,23;288,86;97,30;99,00;1680,00;97,47;2109,30;22,00
83,40;289,03;97,20;99,00;1680,00;97,45;2109,12;22,00
83,57;289,20;97,30;99,00;1680,00;97,43;2108,98;22,00
83,73;289,36;97,20;99,00;1680,00;97,42;2108,84;22,00
83,90;289,53;97,20;99,00;1680,00;97,45;2108,91;22,00
84,07;289,70;97,20;99,00;1680,00;97,42;2108,69;22,00
84,23;289,86;97,20;99,00;1680,00;97,41;2108,58;22,00
84,40;290,03;97,20;99,00;1680,00;97,40;2108,50;22,00
84,57;290,20;97,20;99,00;1680,00;97,40;2108,44;22,00
84,73;290,36;97,20;99,00;1680,00;97,40;2108,39;22,00
84,90;290,53;97,20;99,00;1680,00;97,40;2108,32;22,00
85,07;290,70;97,20;99,00;1680,00;97,40;2108,29;22,00
85,23;290,86;97,20;99,00;1680,00;97,40;2108,25;22,00
85,40;291,03;97,20;99,00;1680,00;97,40;2108,21;22,00
85,57;291,20;97,20;99,00;1680,00;97,40;2108,17;22,00
85,73;291,36;97,20;99,00;1680,00;97,40;2108,13;22,00
85,90;291,53;97,20;99,00;1680,00;97,40;2108,09;22,00
86,07;291,70;97,20;99,00;1680,00;97,40;2108,06;22,00
86,23;291,86;97,20;99,00;1680,00;97,40;2108,02;22,00
86,40;292,03;97,20;99,00;1680,00;97,40;2107,99;22,00
86,57;292,20;97,20;99,00;1680,00;97,40;2107,95;22,00
86,73;292,36;97,20;99,00;1680,00;97,40;2107,92;22,00
86,90;292,53;97,20;99,00;1680,00;97,40;2107,89;22,00
87,07;292,70;97,20;99,00;1680,00;97,40;2107,86;22,00
87,23;292,86;97,20;99,00;1680,00;97,40;2107,84;22,00
87,40;293,03;97,20;99,00;1680,00;97,40;2107,81;22,00
87,57;293,20;97,20;99,00;1680,00;97,40;2107,78;22,00
87,73;293,36;97,20;99,00;1680,00;97,40;2107,76;22,00
87,90;293,53;97,20;99,00;1680,00;97,40;2107,73;22,00
88,07;293,70;97,20;99,00;1680,00;97,40;2107,71;22,00
88,23;293,86;97,20;99,00;1680,00;97,40;2107,69;22,00
88,40;294,03;97,20;99,00;1680,00;97,40;2107,67;22,00
88,57;294,20;97,20;99,00;1680,00;97,40;2107,65;22,00
88,73;294,36;97,20;99,00;1680,00;97,40;2107,63;22,00
88,90;294,53;97,20;99,00;1680,00;97,40;2107,61;22,00
89,07;294,70;97,20;99,00;1680,00;97,40;2107,59;22,00
89,24;294,87;97,20;99,00;1680,00;97,40;2107,57;22,00
89,40;295,03;97,20;99,00;1680,00;97,42;2107,64;22,00
89,57;295,20;97,30;99,00;1680,00;97,42;2107,61;22,00
89,74;295,37;97,20;99,00;1680,00;97,41;2107,56;22,00
89,90;295,53;97,20;99,00;1680,00;97,40;2107,52;22,00
90,07;295,70;97,20;99,00;1680,00;97,40;2107,49;22,00
90,24;295,87;97,20;99,00;1680,00;97,42;2107,55;22,00
90,40;296,03;97,20;99,00;1680,00;97,41;2107,48;22,00
90,57;296,20;97,30;99,00;1680,00;97,42;2107,55;22,00
90,74;296,37;97,20;99,00;1680,00;97,42;2107,50;22,00
90,90;296,53;97,30;99,00;1680,00;97,42;2107,53;22,00
91,07;296,70;97,20;99,00;1680,00;97,43;2107,54;22,00
91,24;296,87;97,30;99,00;1680,00;97,47;2107,72;22,00
91,40;297,03;97,20;99,00;1680,00;97,49;2107,82;22,00
91,57;297,20;97,30;99,00;1680,00;97,52;2107,93;22,00
91,74;297,37;97,30;99,00;1680,00;97,51;2107,85;22,00
91,90;297,53;97,40;99,00;1680,00;97,55;2108,04;22,00
92,07;297,70;97,40;99,00;1680,00;97,57;2108,06;22,00
92,24;297,87;97,40;99,00;1680,00;97,55;2107,94;22,00
92,40;298,03;97,40;99,00;1680,00;97,58;2108,06;22,00
92,57;298,20;97,40;99,00;1680,00;97,58;2108,05;22,00
92,74;298,37;97,40;99,00;1680,00;97,58;2108,02;22,00
92,90;298,53;97,40;99,00;1680,00;97,58;2107,99;22,00
93,07;298,70;97,40;99,00;1680,00;97,59;2108,01;22,00
93,24;298,87;97,40;99,00;1680,00;97,60;2107,99;22,00
93,40;299,03;97,40;99,00;1680,00;97,60;2107,97;22,00
93,57;299,20;97,40;99,00;1680,00;97,60;2107,94;22,00
93,74;299,37;97,40;99,00;1680,00;97,60;2107,91;22,00
93,91;299,54;97,50;99,00;1680,00;97,60;2107,88;22,00
94,07;299,70;97,40;99,00;1680,00;97,60;2107,88;22,00
94,24;299,87;97,50;99,00;1680,00;97,61;2107,89;22,00
94,41;300,04;97,50;99,00;1680,00;97,63;2107,96;22,00
94,57;300,20;97,50;99,00;1680,00;97,64;2107,96;22,00
94,74;300,37;97,50;99,00;1680,00;97,66;2108,04;22,00
94,91;300,54;97,60;99,00;1680,00;97,68;2108,10;22,00
95,07;300,70;97,50;99,00;1680,00;97,70;2108,17;22,00
95,24;300,87;97,60;99,00;1680,00;97,72;2108,23;22,00
95,41;301,04;97,40;99,00;1680,00;97,73;2108,22;22,00
95,57;301,20;97,50;99,00;1680,00;97,68;2107,94;22,00
95,74;301,37;97,40;99,00;1680,00;97,66;2107,84;22,00
95,91;301,54;97,50;99,00;1680,00;97,66;2107,80;22,00
96,07;301,70;97,50;99,00;1680,00;97,69;2107,94;22,00
96,24;301,87;97,60;99,00;1680,00;97,71;2107,98;22,00
96,41;302,04;97,50;99,00;1680,00;97,76;2108,23;22,00
96,57;302,20;97,60;99,00;1680,00;97,77;2108,24;22,00
96,74;302,37;97,60;99,00;1680,00;97,79;2108,28;22,00
96,91;302,54;97,60;99,00;1680,00;97,80;2108,27;22,00
97,07;302,70;97,60;99,00;1680,00;97,80;2108,24;22,00
97,24;302,87;97,60;99,00;1680,00;97,80;2108,21;22,00
97,41;303,04;97,60;99,00;1680,00;97,80;2108,17;22,00
97,58;303,21;97,70;99,00;1680,00;97,83;2108,27;22,00
97,74;303,37;97,60;99,00;1680,00;97,83;2108,23;22,00
97,91;303,54;97,70;99,00;1680,00;97,82;2108,16;22,00
98,08;303,71;97,60;99,00;1680,00;97,86;2108,33;22,00
98,24;303,87;97,70;99,00;1680,00;97,87;2108,34;22,00
98,41;304,04;97,70;99,00;1680,00;97,89;2108,39;22,00
98,58;304,21;97,70;99,00;1680,00;97,90;2108,37;22,00
98,74;304,37;97,70;99,00;1680,00;97,90;2108,34;22,00
98,91;304,54;97,70;99,00;1680,00;97,90;2108,30;22,00
99,08;304,71;97,70;99,00;1680,00;97,90;2108,26;22,00
99,24;304,87;97,70;99,00;1680,00;97,90;2108,22;22,00
99,41;305,04;97,70;99,00;1680,00;97,90;2108,18;22,00
99,58;305,21;97,70;99,00;1680,00;97,90;2108,15;22,00
99,74;305,37;97,70;99,00;1680,00;97,90;2108,11;22,00
99,91;305,54;97,70;99,00;1680,00;97,90;2108,08;22,00
100,08;305,71;97,70;99,00;1680,00;97,92;2108,13;22,00
100,24;305,87;97,80;99,00;1680,00;97,90;2108,04;22,00
100,41;306,04;97,70;99,00;1680,00;97,91;2108,05;22,00
100,58;306,21;97,80;99,00;1680,00;97,92;2108,07;22,00
100,74;306,37;97,80;99,00;1680,00;97,97;2108,28;22,00
100,91;306,54;97,90;99,00;1680,00;97,97;2108,23;22,00
101,08;306,71;97,80;99,00;1680,00;98,01;2108,41;22,00
101,24;306,87;97,90;99,00;1680,00;98,01;2108,37;22,00
101,41;307,04;97,80;99,00;1680,00;98,04;2108,45;22,00
101,58;307,21;97,90;99,00;1680,00;98,05;2108,45;22,00
101,74;307,37;97,90;99,00;1680,00;98,08;2108,57;22,00
101,91;307,54;97,90;99,00;1680,00;98,08;2108,49;22,00
102,08;307,71;97,90;99,00;1680,00;98,09;2108,52;22,00
102,24;307,87;97,90;99,00;1680,00;98,08;2108,44;22,00
102,41;308,04;97,90;99,00;1680,00;98,09;2108,44;22,00
102,58;308,21;97,90;99,00;1680,00;98,10;2108,41;22,00
102,74;308,37;97,90;99,00;1680,00;98,10;2108,38;22,00
102,91;308,54;97,90;99,00;1680,00;98,09;2108,31;22,00
103,08;308,71;97,90;99,00;1680,00;98,10;2108,32;22,00
103,24;308,87;97,90;99,00;1680,00;98,10;2108,27;22,00
103,41;309,04;97,90;99,00;1680,00;98,10;2108,23;22,00
103,58;309,21;97,90;99,00;1680,00;98,10;2108,19;22,00
103,74;309,37;97,90;99,00;1680,00;98,10;2108,15;22,00
103,91;309,54;97,90;99,00;1680,00;98,10;2108,12;22,00
104,08;309,71;97,90;99,00;1680,00;98,10;2108,09;22,00
104,24;309,87;97,90;99,00;1680,00;98,10;2108,06;22,00
104,41;310,04;97,90;99,00;1680,00;98,10;2108,03;22,00
104,58;310,21;97,90;99,00;1680,00;98,10;2108,00;22,00
104,75;310,38;97,90;99,00;1680,00;98,10;2107,98;22,00
104,91;310,54;97,90;99,00;1680,00;98,10;2107,95;22,00
105,08;310,71;97,90;99,00;1680,00;98,10;2107,92;22,00
105,25;310,88;98,00;99,00;1680,00;98,11;2107,95;22,00
105,41;311,04;97,90;99,00;1680,00;98,17;2108,21;22,00
105,58;311,21;97,90;99,00;1680,00;98,13;2107,98;22,00
105,75;311,38;97,90;99,00;1680,00;98,16;2108,11;22,00
105,91;311,54;98,00;99,00;1680,00;98,14;2107,98;22,00
106,08;311,71;97,90;99,00;1680,00;98,13;2107,91;22,00
106,25;311,88;97,90;99,00;1680,00;98,11;2107,79;22,00
106,41;312,04;97,90;99,00;1680,00;98,16;2108,02;22,00
106,58;312,21;97,90;99,00;1680,00;98,12;2107,79;22,00
106,75;312,38;98,00;99,00;1680,00;98,15;2107,91;22,00
106,91;312,54;98,00;99,00;1680,00;98,17;2107,99;22,00
107,08;312,71;98,00;99,00;1680,00;98,21;2108,17;22,00
107,25;312,88;98,00;99,00;1680,00;98,20;2108,07;22,00
107,41;313,04;98,00;99,00;1680,00;98,24;2108,26;22,00
107,58;313,21;98,00;99,00;1680,00;98,18;2107,94;22,00
107,75;313,38;98,00;99,00;1680,00;98,20;2107,99;22,00
107,91;313,54;98,10;99,00;1680,00;98,20;2107,96;22,00
108,08;313,71;98,00;99,00;1680,00;98,24;2108,14;22,00
108,25;313,88;98,00;99,00;1680,00;98,19;2107,84;22,00
108,41;314,04;98,00;99,00;1680,00;98,21;2107,93;22,00
108,58;314,21;98,00;99,00;1680,00;98,18;2107,78;22,00
108,75;314,38;98,00;99,00;1680,00;98,19;2107,81;22,00
108,91;314,54;98,00;99,00;1680,00;98,18;2107,72;22,00
109,08;314,71;98,00;99,00;1680,00;98,20;2107,81;22,00
109,25;314,88;98,10;99,00;1680,00;98,21;2107,83;22,00
109,41;315,04;98,10;99,00;1680,00;98,27;2108,10;22,00
109,58;315,21;98,00;99,00;1680,00;98,25;2108,02;22,00
109,75;315,38;98,10;99,00;1680,00;98,26;2108,00;22,00
109,91;315,54;98,10;99,00;1680,00;98,23;2107,84;22,00
110,08;315,71;98,00;99,00;1680,00;98,27;2108,02;22,00
110,25;315,88;98,00;99,00;1680,00;98,23;2107,78;22,00
110,41;316,04;98,00;99,00;1680,00;98,27;2107,95;22,00
110,58;316,21;98,00;99,00;1600,00;98,22;2105,43;22,00
110,75;316,38;98,00;99,00;1600,00;98,22;2101,66;22,00
110,91;316,54;97,90;99,00;1600,00;98,16;2097,75;22,00
111,08;316,71;97,90;99,00;1600,00;98,12;2094,14;22,00
111,25;316,88;97,80;99,00;1600,00;98,05;2090,52;22,00
111,41;317,04;97,80;99,00;1600,00;98,01;2087,17;22,00
111,58;317,21;97,70;99,00;1600,00;97,98;2084,27;22,00
111,75;317,38;97,70;99,00;1600,00;97,93;2081,09;22,00
111,91;317,54;97,60;99,00;1600,00;97,88;2078,07;22,00
112,08;317,71;97,60;99,00;1600,00;97,82;2075,12;22,00
112,25;317,88;97,60;99,00;1600,00;97,80;2072,47;22,00
112,41;318,04;97,50;99,00;1600,00;97,80;2069,99;22,00
112,58;318,21;97,50;99,00;1600,00;97,70;2067,14;22,00
112,75;318,38;97,40;99,00;1600,00;97,66;2064,68;22,00
112,91;318,54;97,40;99,00;1600,00;97,62;2062,29;22,00
113,08;318,71;97,40;99,00;1600,00;97,60;2060,14;22,00
113,25;318,88;97,30;99,00;1600,00;97,54;2057,83;22,00
113,41;319,04;97,30;99,00;1600,00;97,52;2055,83;22,00
113,58;319,21;97,30;99,00;1600,00;97,45;2053,67;22,00
113,75;319,38;97,20;99,00;1600,00;97,42;2051,74;22,00
113,91;319,54;97,20;99,00;1600,00;97,40;2049,96;22,00
114,08;319,71;97,20;99,00;1600,00;97,39;2048,32;22,00
114,25;319,88;97,10;99,00;1600,00;97,34;2046,52;22,00
114,41;320,04;97,10;99,00;1600,00;97,36;2045,11;22,00
114,58;320,21;97,00;99,00;1600,00;97,30;2043,39;22,00
114,75;320,38;97,00;99,00;1600,00;97,25;2041,90;22,00
114,92;320,55;96,90;99,00;1600,00;97,20;2040,35;22,00
115,08;320,71;96,90;99,00;1600,00;97,16;2038,87;22,00
115,25;320,88;96,90;99,00;1600,00;97,11;2037,45;22,00
115,42;321,05;96,90;99,00;1600,00;97,10;2036,23;22,00
115,58;321,21;96,80;99,00;1600,00;97,04;2034,82;22,00
115,75;321,38;96,70;99,00;1600,00;97,01;2033,72;22,00
